"도서관명","시도명","시군구명","도서관유형","평일운영시작시각","평일운영종료시각","열람좌석수","자료수(도서)","소재지도로명주소","운영기관명","홈페이지주소","데이터기준일자"
"인천광역시교육청신트리도서관","인천광역시","부평구","공공도서관","09:00","20:00","440","305097","인천광역시 부평구 신트리로 21","인천광역시교육청신트리도서관","https://lib.ice.go.kr/shintree","2026-08-06"
"인천광역시교육청연수도서관","인천광역시","연수구","공공도서관","06:00","22:00","995","242324","인천광역시 연수구 함박뫼로 152번길 96(연수동)","인천광역시교육청","https://lib.ice.go.kr/yeonsu","2026-08-04"
"인천광역시교육청계양도서관","인천광역시","계양구","공공도서관","06:00","22:00","606","215795","인천광역시 계양구 계양산로134번길 18 (계산동)","인천광역시교육청","https://lib.ice.go.kr/gyeyang/index.do","2026-08-19"
"인천광역시교육청서구도서관","인천광역시","서구","공공도서관","06:00","22:00","965","258691","인천광역시 서구 건지로334번길 45","인천광역시교육청서구도서관","https://lib.ice.go.kr/seogu/","2026-07-02"
"인천광역시교육청 주안도서관","인천광역시","미추홀구","공공도서관","06:00","22:00","825","252130","인천광역시 미추홀구 구월남로 27","인천광역시교육청 주안도서관","https://lib.ice.go.kr/juan","2026-08-19"
"인천광역시교육청 인천광역시교육청부평도서관","인천광역시","부평구","공공도서관","06:00","22:00","555","196778","인천광역시 부평구 경원대로1191","인천광역시교육청","https://lib.ice.go.kr/bupyeong/index.do","2026-08-10"
"인천광역시교육청 인천광역시교육청중앙도서관","인천광역시","남동구","공공도서관","09:00","20:00","360","321691","인천광역시 남동구 정각로9","인천광역시교육청","https://lib.ice.go.kr/jungang/index.do","2026-08-04"
"인천광역시교육청화도진도서관","인천광역시","제물포구","공공도서관","09:00","20:00","662","183639","인천광역시 동구 화도진로 122","인천광역시교육청","https://lib.ice.go.kr/hwadojin/index.do","2026-08-06"
"고암작은도서관","경기도","양주시","공공도서관","09:00","18:00","50","13346","경기도 양주시 고암길 251-1 1층","경기도 양주시청","https://www.libyj.go.kr/goamlib/index.do","2026-06-30"
"광적도서관","경기도","양주시","공공도서관","09:00","22:00","187","47587","경기도 양주시 광적면 광적로42번길 5","경기도 양주시청","https://www.libyj.go.kr/gjlib/index.do","2026-06-30"
"덕계도서관","경기도","양주시","공공도서관","09:00","22:00","130","87876","경기도 양주시 평화로1475번길 39","경기도 양주시청","https://www.libyj.go.kr/dklib/index.do","2026-06-30"
"남면도서관","경기도","양주시","공공도서관","09:00","18:00","147","46688","경기도 양주시 남면 개나리17길 24","경기도 양주시청","https://www.libyj.go.kr/nmlib/index.do","2026-06-30"
"꿈나무도서관","경기도","양주시","공공도서관","09:00","22:00","183","132286","경기도 양주시 백석읍 꿈나무로 199","경기도 양주시청","https://www.libyj.go.kr/childlib/index.do","2026-06-30"
"고읍도서관","경기도","양주시","공공도서관","09:00","22:00","296","64321","경기도 양주시 고읍남로 207","경기도 양주시청","https://www.libyj.go.kr/gulib/index.do","2026-06-30"
"덕정도서관","경기도","양주시","공공도서관","09:00","22:00","300","78807","경기도 양주시 화합로1371번길 11","경기도 양주시청","https://www.libyj.go.kr/djlib/index.do","2026-06-30"
